row,product_code
189,1020972
190,1021035
191,1021038
192,1021070
193,1021135
194,1021191
195,1021203
196,1021204
197,1021255
198,1021273
199,1021285
200,1021286
201,1021335
202,1021360
203,1021420
204,1021479
205,1021481
206,1021580
207,1021612
208,1021630
209,1021696
210,1021861
211,1021881
212,1021887
213,1021898
214,1021899
215,1021967
216,1021968
217,1021969
218,1021977
219,1021978
220,1022222
221,1022429
222,1022465
223,1022496
224,1022506
225,1022575
226,1022732
227,1022802
228,1022912
229,1022996
230,1023045
231,1023047
232,1023092
233,1023105
234,1023113
235,1023177
236,1023197
237,1023393
238,1023556
239,1023598
240,1023634
241,1023687
242,1023776
243,1023777
244,1023829
245,1024114
246,1024232
247,1024238
248,1024258
249,1024288
250,1024537
251,1024812
252,1024901
253,1024902
254,1025092
255,1025506
256,1025594
257,1025893
258,1025934
259,1026118
260,1026175
261,1026223
262,1026247
263,1026359
264,1026459
265,1026512
266,1026513
267,1026516
268,1026744
269,1026770
270,1027003
271,1027005
272,1027113
273,1027181
274,1027396
275,1027397
276,1027477
277,1027797
278,1027872
279,1028139
280,1028140
281,1028144
282,1028145
283,1028146
284,1028149
285,1028151
286,1028152
287,1028153
288,1028154
289,1028156
290,1028157
291,1028257
292,1028258
293,1028262
294,1028264
295,1028265
296,1028268
297,1028269
298,1028277
299,1028279
300,1028280
301,1028281
302,1028284
303,1028290
304,1028292
305,1028293
306,1028294
307,1028296
308,1028300
309,1028302
310,1028303
311,1028304
312,1028305
313,1028306
314,1028307
315,1028308
316,1028309
317,1028310
318,1028311
319,1028312
320,1028313
321,1028318
322,1028320
323,1028324
324,1028326
325,1028327
326,1028328
327,1028329
328,1028332
329,1028333
330,1028334
331,1028336
332,1028339
333,1028342
334,1028369
335,1028371
336,1028376
337,1028385
338,1028398
339,1028399
340,1028400
341,1028401
342,1028416
343,1028417
344,1036198
345,1036199
346,1036208
347,1036238
348,1036242
349,1036243
350,1036248
351,1036249
352,1036269
353,1036276
354,1036290
355,1036295
356,1036296
357,1036308
358,1036310
359,1036318
360,1036331
361,1036338
362,1036348
363,1036356
364,1036358
365,1036359
366,1036360
367,1036367
368,1036368
369,1036443
370,1036453
371,1036456
372,1036460
373,1036470
374,1036507
375,1036522
376,1036576
377,1036577
378,1036584
379,1036622
380,1036624
381,1036625
382,1036626
383,1036636
384,1036639
385,1036646
386,1036649
387,1036656
388,1036683
389,1036771
390,1036810
391,1036838
392,1036879
393,1036929
394,1036967
395,1037017
396,1037018
397,1037019
398,1037027
399,1037106
400,1037173
401,1037243
402,1037286
403,1037345
404,1037346
405,1037440
406,1037445
407,1037465
408,1037559
409,1037640
410,1037660
411,1037728
412,1037758
413,1038094
414,1038230
415,1038313
416,1038349
417,1038374
418,1038398
419,1038443
420,1038507
421,1038554
422,1038555
423,1038558
424,1038593
425,1038658
426,1038659
427,1038695
428,1038706
429,1038811
430,1038839
431,1038841
432,1038842
433,1039039
434,1039042
435,1039101
436,1039124
437,1039134
438,1039139
439,1039177
440,1039181
441,1039183
442,1039526
443,1039527
444,1039569
445,1039648
446,1039658
447,1039668
448,1039701
449,1039849
450,1039870
451,1039871
452,1039872
453,1039873
454,1039879
455,1039944
456,1039945
457,1039980
458,1040009
459,1040018
460,1040033
461,1040036
462,1040123
463,1040240
464,1040269
465,1040316
466,1040321
467,1040333
468,1040335
469,1040396
470,1040427
471,1040541
472,1040542
473,1040562
474,1040779
475,1040904
476,1040906
477,1040954
478,1040955
479,1040961
480,1041038
481,1041046
482,1041153
483,1041190
484,1041256
485,1041264
486,1041345
487,1041384
488,1041531
489,1041533
490,1041534
491,1041535
492,1041536
493,1041542
494,1041545
495,1041546
496,1041550
497,1041551
498,1041553
499,1041589
500,1041590
501,1042121
502,1042122
503,1042125
504,1042127
505,1042142
506,1042143
507,1042144
508,1042145
509,1042173
510,1042194
511,1042199
512,1042201
513,1042499
514,1042509
515,1042513
516,1042514
517,1042520
518,1042525
519,1042535
520,1042575
521,1042576
522,1042577
523,1042578
524,1042594
525,1042595
526,1042700
527,1042701
528,1042702
529,1042744
530,1042745
531,1042763
532,1042769
533,1042775
534,1042781
535,1042788
536,1042790
537,1042808
538,1042810
539,1042830
540,1042833
541,1042969
542,1043002
543,1043024
544,1043031
545,1043032
546,1043052
547,1043058
548,1043059
549,1043060
550,1043175
551,1043206
552,1044156
553,1044157
554,1044179
555,1044195
556,1044544
557,1044569
558,1044733
559,1044832
560,1045031
561,1045050
562,1045055
563,1045130
564,1045335
565,1045368
566,1045473
567,1045544
568,1045675
569,1045789
570,1045858
571,1045872
572,1045938
573,1045949
574,1045953
575,1045983
576,1045984
577,1046044
578,1046152
579,1046162
580,1046165
581,1046180
582,1046181
583,1046196
584,1046204
585,1046205
586,1046206
587,1046221
588,1046247
589,1046278
590,1046339
591,1046340
592,1046343
593,1046436
594,1046472
595,1046482
596,1046516
597,1046577
598,1046607
599,1046608
600,1046609
601,1046611
602,1046614
603,1046616
604,1046677
605,1046680
606,1046740
607,1046743
608,1046744
609,1046747
610,1046795
611,1046801
612,1046871
613,1046879
614,1046915
615,1047032
616,1047068
617,1047071
618,1047156
619,1047168
620,1047170
621,1047230
622,1047423
623,1047450
624,1047501
625,1047524
626,1047525
627,1047526
628,1047709
629,1047734
630,1047762
631,1047979
632,1047992
633,1048015
634,1048029
635,1048182
636,1048404
637,1048466
638,1048471
639,1048519
640,1048530
641,1048531
642,1048608
643,1048671
644,1048818
645,1048861
646,1048893
647,1049072
648,1049167
649,1049264
650,1049293
651,1049294
652,1049415
653,1049440
